Pixel-X,Pixel-Y,Longitude,Latitude,band_1,band_2,band_3,band_4,band_5,band_6
330.5,194.5,74.39872462,36.67180038,0.7785045,0.78986764,0.8443077,0.8136244,0.15054801,0.14364803
391.5,194.5,74.41715533,36.67189201,0.19683394,0.19860554,0.19627565,0.19030392,0.062250845,0.056233864
399.5,194.5,74.41957247,36.67190381,0.14897123,0.1172812,0.11084489,0.09492966,0.018978361,0.017643768
402.5,194.5,74.4204789,36.67190823,0.20719858,0.16449374,0.150809,0.13228305,0.018005691,0.019408146
509.5,195.5,74.45281012,36.67181777,0.38619134,0.34355885,0.34459373,0.3298781,0.03946189,0.043649342
253.5,197.5,74.37546566,36.67095048,0.68668646,0.66576135,0.67738926,0.64384127,0.12462254,0.124422185
261.5,197.5,74.37788276,36.67096313,0.6883545,0.66144735,0.6794696,0.661725,0.1510984,0.15728086
264.5,197.5,74.37878917,36.67096786,0.6589554,0.66668427,0.69966525,0.67548335,0.14296652,0.14672747
270.5,197.5,74.380602,36.6709773,0.6420609,0.65336674,0.672458,0.63673705,0.11156292,0.11361534
272.5,197.5,74.38120627,36.67098044,0.57754564,0.5616029,0.57319504,0.54863685,0.14560635,0.14549325
278.5,197.5,74.3830191,36.67098985,1.0125595,0.9881646,1.0380824,0.98910916,0.11394633,0.114518784
281.5,197.5,74.38392551,36.67099454,0.626981,0.591204,0.6071192,0.61660945,0.086268336,0.08847227
283.5,197.5,74.38452979,36.67099767,0.84473705,0.76940256,0.8063542,0.7773024,0.085695885,0.09133453
286.5,197.5,74.3854362,36.67100235,0.60612696,0.60437983,0.605295,0.6067925,0.08603936,0.091220036
314.5,197.5,74.39389608,36.6710457,0.49203962,0.5123768,0.5597322,0.5592607,0.16131401,0.15790305
316.5,197.5,74.39450036,36.67104878,0.65404695,0.61927164,0.6916231,0.7228337,0.17674921,0.17376545
322.5,197.5,74.39631319,36.67105798,0.3650805,0.4181467,0.46133813,0.48234707,0.23287517,0.21575166
327.5,197.5,74.39782389,36.67106563,0.41846156,0.42833632,0.46660468,0.48332024,0.24252,0.22454517
391.5,198.5,74.41716267,36.67091845,0.18521646,0.13555636,0.11557782,0.085409656,0.007419428,0.007396808
396.5,198.5,74.41867337,36.67092583,0.18178469,0.15826273,0.14417809,0.11815385,0.007459763,0.007848003
399.5,198.5,74.41957979,36.67093025,0.15408249,0.12532008,0.117815726,0.10270458,0.008679948,0.008929531
402.5,198.5,74.4204862,36.67093466,0.31563175,0.26584616,0.25786048,0.23865475,0.01677593,0.018184597
405.5,198.5,74.42139262,36.67093907,0.51217175,0.4105045,0.41760287,0.3899535,0.025359567,0.030654736
471.5,198.5,74.4413339,36.67103429,0.8511102,0.85326695,0.8829676,0.8425534,0.13302146,0.12779652
474.5,198.5,74.44224033,36.67103854,0.76638716,0.81000876,0.82390225,0.7866589,0.11676629,0.121298976
482.5,198.5,74.44465746,36.67104983,0.30872273,0.32363507,0.3772737,0.38737768,0.22260258,0.19872972
487.5,198.5,74.44616817,36.67105687,0.5082724,0.6064873,0.626826,0.60197014,0.17940097,0.17019251
490.5,198.5,74.44707459,36.67106108,0.29924867,0.31785333,0.34584618,0.3682576,0.107581764,0.108057514
493.5,198.5,74.44798102,36.67106528,0.57229453,0.59522957,0.6143513,0.57861733,0.15510698,0.14768663
498.5,198.5,74.44949173,36.67107228,0.515922,0.46502918,0.47265533,0.4717402,0.05679284,0.059676226
501.5,198.5,74.45039815,36.67107646,0.91938466,0.8800859,0.9078212,0.840873,0.060568094,0.06603131
509.5,199.5,74.45281701,36.6708442,0.8762505,0.8263485,0.869713,0.77970266,0.059026774,0.065182224
253.5,200.5,74.37547156,36.67022031,0.36644375,0.32437512,0.3381022,0.35842937,0.21536712,0.19650185
264.5,200.5,74.37879504,36.67023769,0.84020597,0.81164795,0.85275537,0.8485806,0.13661352,0.13637947
275.5,201.5,74.38212047,36.67001159,0.57187164,0.65463084,0.65119034,0.55677557,0.11886941,0.12696959
278.5,201.5,74.38302687,36.67001629,0.7753167,0.71724695,0.7460045,0.77931005,0.08460823,0.09096243
281.5,201.5,74.38393327,36.67002099,0.5744853,0.559233,0.56220025,0.5601759,0.07332203,0.077223614
283.5,201.5,74.38453754,36.67002411,0.5051306,0.47029698,0.47333097,0.43844008,0.05338372,0.055577878
308.5,201.5,74.39209091,36.67006291,0.7620885,0.7323272,0.7455175,0.7426561,0.124597535,0.12825808
311.5,201.5,74.39299731,36.67006753,1.044423,0.9977509,1.0371296,1.090374,0.1400501,0.14434348
319.5,201.5,74.39541439,36.67007982,0.8021744,0.7704637,0.824235,0.8399588,0.14113775,0.14422898
322.5,201.5,74.3963208,36.67008442,0.5972952,0.5919142,0.63962793,0.6433775,0.24200511,0.22452176
325.5,201.5,74.3972272,36.67008901,0.31064045,0.34255457,0.37916282,0.41651523,0.26889718,0.24954143
391.5,201.5,74.41716817,36.67018827,0.2158712,0.17548479,0.15919857,0.12831485,0.007984933,0.007803972
394.5,201.5,74.41807459,36.67019271,0.14860824,0.113087654,0.098060824,0.07625045,0.008143275,0.007758732
396.5,201.5,74.41867886,36.67019566,0.17695457,0.1435936,0.1296724,0.10657207,0.009622818,0.010011058
402.5,201.5,74.42049168,36.67020449,0.8424376,0.85743517,0.8745865,0.8235002,0.06025291,0.06603131
407.5,201.5,74.42200237,36.67021183,1.050845,1.0200589,1.0536046,0.9942718,0.09661096,0.10165527
474.5,202.5,74.44224735,36.67006497,0.8026893,0.8179492,0.8558649,0.7833588,0.102243565,0.1082368
476.5,202.5,74.44285163,36.6700678,0.74015033,0.7436423,0.78740615,0.755034,0.19268323,0.17936666
479.5,202.5,74.44375804,36.67007204,0.8147193,0.81481296,0.83716446,0.75489676,0.07905564,0.08829394
485.5,202.5,74.44557087,36.67008049,0.4243578,0.46631846,0.515263,0.5332093,0.24324556,0.22903888
487.5,202.5,74.44617514,36.6700833,0.45054743,0.49436855,0.54568875,0.5650948,0.15531044,0.14611585
490.5,202.5,74.44708156,36.67008751,0.47135538,0.528754,0.5364778,0.5187585,0.20382121,0.19349337
493.5,202.5,74.44798797,36.67009172,0.6091173,0.6194774,0.6439072,0.6101757,0.15204294,0.15470484
496.5,202.5,74.44889438,36.67009592,0.30596608,0.39849922,0.41023985,0.38037604,0.15816058,0.14418128
501.5,202.5,74.45040507,36.6701029,0.5113527,0.49459112,0.5227661,0.5243468,0.0808899,0.083943635
250.5,204.5,74.37457303,36.669242,0.76553243,0.7846276,0.81290287,0.70919305,0.12496601,0.1306619
253.5,204.5,74.37547942,36.66924676,0.5706584,0.5835272,0.5880677,0.5320368,0.15982518,0.15809166
278.5,204.5,74.3830327,36.66928613,0.47981006,0.42262775,0.43391445,0.45779127,0.10121989,0.10267318
311.5,204.5,74.39300304,36.66933736,0.94794995,0.90739185,0.9535027,0.92702687,0.15313059,0.15333095
316.5,204.5,74.39451371,36.66934505,0.44714236,0.45795766,0.49808508,0.53111327,0.2283064,0.21621747
319.5,204.5,74.3954201,36.66934966,0.31522372,0.36203447,0.36563954,0.36547315,0.22097693,0.20724647
322.5,204.5,74.3963265,36.66935425,0.40254742,0.4158569,0.45655817,0.48237568,0.2629596,0.25069624
388.5,205.5,74.41626912,36.66921027,0.18126655,0.148322,0.13449731,0.10807871,0.007351568,0.00764563
391.5,205.5,74.41717552,36.66921471,0.1820017,0.15363239,0.14385688,0.11446154,0.008256376,0.00859568
394.5,205.5,74.41808192,36.66921914,0.21855178,0.18092307,0.1588551,0.12410734,0.007298742,0.008014306
396.5,205.5,74.41868618,36.6692221,0.15823951,0.13928166,0.12648301,0.105319746,0.016242892,0.017787606
399.5,205.5,74.41959258,36.66922652,0.2894714,0.22932352,0.22640806,0.20447944,0.015085531,0.01649469
402.5,205.5,74.42049898,36.66923093,1.0565906,1.035599,1.0689186,1.0078892,0.08706523,0.09235836
405.5,205.5,74.42140538,36.66923534,1.0471579,1.026483,1.0526093,0.98033774,0.09414536,0.098036036
407.5,205.5,74.42200965,36.66923827,1.0816537,1.0690091,1.0973748,1.0261211,0.09223811,0.09745737
